#
# New records
#
Georgi,Facello,1953-09-02,M,1986-06-26
Bezalel,Simmel,1964-06-02,F,1985-11-21
Parto,Bamford,1959-12-03,M,1986-08-28
Chirstian,Koblick,1954-05-01,M,1986-12-01
Kyoichi,Maliniak,1955-01-21,M,1989-09-12
Anneke,Preusig,1953-04-20,F,1989-06-02
Tzvetan,Zielinski,1957-05-23,F,1989-02-10
Saniya,Kalloufi,1958-02-19,M,1994-09-15
Sumant,Peac,1952-04-19,F,1985-02-18
Duangkaew,Piveteau,1963-06-01,F,1989-08-24
Mary,Sluis,1953-11-07,F,1990-01-22
Patricio,Bridgland,1960-10-04,M,1992-12-18
Eberhardt,Terkki,1963-06-07,M,1985-10-20
Berni,Genin,1956-02-12,M,1987-03-11
Guoxiang,Nooteboom,1959-08-19,M,1987-07-02
Kazuhito,Cappelletti,1961-05-02,M,1995-01-27
Cristinel,Bouloucos,1958-07-06,F,1993-08-03
Kazuhide,Peha,1954-06-19,F,1987-04-03
Lillian,Haddadi,1953-01-23,M,1999-04-30
Mayuko,Warwick,1952-12-24,M,1991-01-26
Ramzi,Erde,1960-02-20,M,1988-02-10
Shahaf,Famili,1952-07-08,M,1995-08-22
Bojan,Montemayor,1953-09-29,F,1989-12-17
Suzette,Pettey,1958-09-05,F,1997-05-19
Prasadram,Heyers,1958-10-31,M,1987-08-17
Yongqiao,Berztiss,1953-04-03,M,1995-03-20
Divier,Reistad,1962-07-10,F,1989-07-07
Domenick,Tempesti,1963-11-26,M,1991-10-22
Otmar,Herbst,1956-12-13,M,1985-11-20
Elvis,Demeyer,1958-07-14,M,1994-02-17
Karsten,Joslin,1959-01-27,M,1991-09-01
Jeong,Reistad,1960-08-09,F,1990-06-20
Arif,Merlo,1956-11-14,M,1987-03-18
Bader,Swan,1962-12-29,M,1988-09-21
Alain,Chappelet,1953-02-08,M,1988-09-05
Adamantios,Portugali,1959-08-10,M,1992-01-03
Pradeep,Makrucki,1963-07-22,M,1990-12-05
Huan,Lortz,1960-07-20,M,1989-09-20
Alejandro,Brender,1959-10-01,M,1988-01-19
